record_id,vendor,category,amount,site_id,approver,submitted_at,is_anomaly,anomaly_type
1,Konkan Aggregates Pvt Ltd,materials,28349.76,SITE-004,N. Rao,2025-02-07 09:52:00,0,none
2,Municipal Permits & Fees,misc,14971.34,SITE-009,K. Iyer,2025-06-11 17:22:00,0,none
3,Shree Cement Suppliers,materials,25771.17,SITE-004,M. Sharma,2025-04-22 10:09:00,0,none
4,Union Skilled Workforce,labor,73101.86,SITE-010,S. Kulkarni,2025-02-14 11:21:00,1,duplicate
5,Union Skilled Workforce,labor,116981.69,SITE-001,R. Mehta,2025-02-12 08:51:00,0,none
6,Union Skilled Workforce,labor,37269.34,SITE-003,R. Mehta,2025-02-14 13:33:00,0,none
7,Shree Cement Suppliers,materials,20404.67,SITE-006,M. Sharma,2025-05-20 18:29:00,0,none
8,Konkan Aggregates Pvt Ltd,materials,27543.44,SITE-005,R. Mehta,2025-01-09 13:24:00,0,none
9,Konkan Aggregates Pvt Ltd,materials,17993.06,SITE-002,N. Rao,2025-06-24 15:22:00,0,none
10,BuildRight Steel & Rebar,materials,86533.9,SITE-007,K. Iyer,2025-01-09 11:01:00,0,none
11,Municipal Permits & Fees,misc,18292.28,SITE-008,K. Iyer,2025-01-21 08:02:00,0,none
12,Union Skilled Workforce,labor,119280.84,SITE-009,S. Kulkarni,2025-01-29 14:25:00,0,none
13,TerraMove Heavy Machinery,equipment,845709.76,SITE-002,J. D'Souza,2025-02-20 12:25:00,0,none
14,BuildRight Steel & Rebar,materials,62447.59,SITE-005,R. Mehta,2025-05-16 14:10:00,0,none
15,Zenith Office & Site Supplies,misc,250000.0,SITE-002,J. D'Souza,2025-02-10 12:14:00,1,round_number
16,PowerLift Cranes & Equipment,equipment,115591.54,SITE-006,R. Mehta,2025-04-28 14:18:00,0,none
17,Zenith Office & Site Supplies,misc,7192.77,SITE-008,N. Rao,2025-05-21 14:03:00,0,none
18,Union Skilled Workforce,labor,57471.32,SITE-007,S. Kulkarni,2025-06-04 09:19:00,0,none
19,Zenith Office & Site Supplies,misc,7508.82,SITE-007,N. Rao,2025-05-01 16:45:00,0,none
20,Coastal Scaffolding Rentals,equipment,29924.13,SITE-009,K. Iyer,2025-02-14 09:57:00,0,none
21,Everest Manpower Contractors,labor,69280.46,SITE-009,A. Fernandes,2025-01-28 09:41:00,0,none
22,Shree Cement Suppliers,materials,22028.25,SITE-009,M. Sharma,2025-04-03 11:00:00,0,none
23,Union Skilled Workforce,labor,292110.75,SITE-001,S. Kulkarni,2025-01-06 11:20:00,1,extreme_outlier
24,Everest Manpower Contractors,labor,64233.11,SITE-006,A. Fernandes,2025-06-09 12:13:00,0,none
25,Municipal Permits & Fees,misc,12646.18,SITE-005,K. Iyer,2025-02-05 16:00:00,0,none
26,PowerLift Cranes & Equipment,equipment,88098.24,SITE-001,R. Mehta,2025-05-21 15:52:00,0,none
27,SafeSite PPE & Consumables,misc,5184.15,SITE-009,R. Mehta,2025-05-19 15:59:00,0,none
28,TerraMove Heavy Machinery,equipment,411843.0,SITE-008,J. D'Souza,2025-04-23 11:26:00,0,none
29,Konkan Aggregates Pvt Ltd,materials,18335.52,SITE-005,N. Rao,2025-03-19 11:21:00,0,none
30,Sagar Labour Solutions,labor,30256.25,SITE-003,K. Iyer,2025-03-18 08:41:00,0,none
31,Konkan Aggregates Pvt Ltd,materials,16545.34,SITE-009,N. Rao,2025-04-15 12:07:00,0,none
32,Municipal Permits & Fees,misc,17377.76,SITE-008,J. D'Souza,2025-05-30 12:48:00,0,none
33,TerraMove Heavy Machinery,equipment,68709.19,SITE-010,J. D'Souza,2025-01-23 11:06:00,0,none
34,Sagar Labour Solutions,labor,52195.29,SITE-010,P. Singh,2025-06-11 16:59:00,0,none
35,Union Skilled Workforce,labor,99691.56,SITE-005,S. Kulkarni,2025-04-21 16:16:00,0,none
36,PowerLift Cranes & Equipment,equipment,254191.51,SITE-001,R. Mehta,2025-01-17 12:33:00,0,none
37,Everest Manpower Contractors,labor,55843.81,SITE-009,P. Singh,2025-01-07 16:17:00,0,none
38,TerraMove Heavy Machinery,equipment,296668.61,SITE-010,M. Sharma,2025-02-20 11:40:00,0,none
39,Shree Cement Suppliers,materials,39123.63,SITE-009,J. D'Souza,2025-01-13 13:50:00,0,none
40,Shree Cement Suppliers,materials,31418.66,SITE-004,M. Sharma,2025-02-19 10:00:00,0,none
41,Everest Manpower Contractors,labor,39541.58,SITE-002,M. Sharma,2025-04-22 10:51:00,0,none
42,BuildRight Steel & Rebar,materials,42147.54,SITE-008,K. Iyer,2025-02-05 08:17:00,0,none
43,Sagar Labour Solutions,labor,38906.73,SITE-001,P. Singh,2025-03-31 14:39:00,0,none
44,Konkan Aggregates Pvt Ltd,materials,13006.14,SITE-008,R. Mehta,2025-04-24 18:45:00,0,none
45,SafeSite PPE & Consumables,misc,6238.95,SITE-004,N. Rao,2025-06-24 14:07:00,0,none
46,PowerLift Cranes & Equipment,equipment,75389.4,SITE-004,M. Sharma,2025-01-02 08:22:00,0,none
47,Union Skilled Workforce,labor,99316.2,SITE-008,S. Kulkarni,2025-05-16 10:17:00,0,none
48,SafeSite PPE & Consumables,misc,125000.0,SITE-002,R. Mehta,2025-02-25 11:40:00,1,round_number
49,Konkan Aggregates Pvt Ltd,materials,17201.0,SITE-005,N. Rao,2025-04-04 08:30:00,0,none
50,SafeSite PPE & Consumables,misc,9094.33,SITE-008,R. Mehta,2025-01-10 16:35:00,0,none
51,Konkan Aggregates Pvt Ltd,materials,14382.03,SITE-003,N. Rao,2025-06-26 14:13:00,0,none
52,Zenith Office & Site Supplies,misc,16198.26,SITE-005,N. Rao,2025-04-30 16:40:00,0,none
53,Zenith Office & Site Supplies,misc,9781.84,SITE-003,N. Rao,2025-05-10 01:19:00,1,off_hours
54,SafeSite PPE & Consumables,misc,5930.85,SITE-003,N. Rao,2025-06-25 10:28:00,0,none
55,SafeSite PPE & Consumables,misc,10084.65,SITE-006,N. Rao,2025-04-01 13:58:00,0,none
56,PowerLift Cranes & Equipment,equipment,263068.54,SITE-002,M. Sharma,2025-03-03 13:44:00,0,none
57,Konkan Aggregates Pvt Ltd,materials,6955.15,SITE-008,N. Rao,2025-06-02 17:06:00,0,none
58,Union Skilled Workforce,labor,49697.05,SITE-007,S. Kulkarni,2025-05-02 14:31:00,0,none
59,SafeSite PPE & Consumables,misc,3325.37,SITE-004,R. Mehta,2025-05-14 08:54:00,0,none
60,Coastal Scaffolding Rentals,equipment,218386.34,SITE-010,K. Iyer,2025-05-06 13:06:00,1,extreme_outlier
61,PowerLift Cranes & Equipment,equipment,155901.95,SITE-009,M. Sharma,2025-05-14 14:52:00,0,none
62,Konkan Aggregates Pvt Ltd,materials,27998.57,SITE-003,R. Mehta,2025-05-17 18:40:00,1,duplicate
63,BuildRight Steel & Rebar,materials,106737.1,SITE-004,R. Mehta,2025-06-09 11:48:00,0,none
64,SafeSite PPE & Consumables,misc,6494.52,SITE-008,R. Mehta,2025-05-05 15:54:00,0,none
65,Sagar Labour Solutions,labor,33650.91,SITE-004,P. Singh,2025-06-16 16:55:00,0,none
66,BuildRight Steel & Rebar,materials,80934.76,SITE-007,R. Mehta,2025-05-23 13:07:00,0,none
67,BuildRight Steel & Rebar,materials,110632.5,SITE-004,R. Mehta,2025-03-17 10:09:00,0,none
68,Municipal Permits & Fees,misc,22644.28,SITE-008,K. Iyer,2025-04-17 10:21:00,0,none
69,Everest Manpower Contractors,labor,72200.41,SITE-009,P. Singh,2025-05-13 16:22:00,0,none
70,Sagar Labour Solutions,labor,40579.89,SITE-006,K. Iyer,2025-02-24 18:31:00,0,none
