record_id,vendor,category,amount,site_id,approver,submitted_at,is_anomaly,anomaly_type,rule_duplicate,rule_round_number,rule_off_hours,rule_unusual_approver,stat_robust_z,stat_score,ml_score,suspicion_score,flag_reasons
424,Zenith Office & Site Supplies,misc,10727.64,SITE-006,N. Rao,2025-04-06 13:37:00,1,duplicate,1.0,0.0,1.0,0.0,1.3140145862275903,0.2190024310379317,0.7675144576755927,0.5089,possible duplicate entry; submitted off-hours/weekend; unusual combination of features (model flagged)
456,Union Skilled Workforce,labor,29918.9,SITE-003,S. Kulkarni,2025-02-22 11:14:00,1,duplicate,1.0,0.0,1.0,0.0,1.286613681074537,0.21443561351242282,0.7509865595149726,0.5055,possible duplicate entry; submitted off-hours/weekend; unusual combination of features (model flagged)
669,TerraMove Heavy Machinery,equipment,185256.49,SITE-005,J. D'Souza,2025-06-21 00:02:00,1,off_hours,1.0,0.0,1.0,0.0,0.12992979434993324,0.021654965724988873,0.9315295394509124,0.4941,possible duplicate entry; submitted off-hours/weekend; unusual combination of features (model flagged)
1084,Zenith Office & Site Supplies,misc,350000.0,SITE-004,N. Rao,2025-03-10 18:39:00,1,round_number,0.0,1.0,0.0,0.0,110.68355259466645,1.0,0.8979845083018078,0.4847,suspiciously round amount; amount far outside vendor's typical range; unusual combination of features (model flagged)
1050,SafeSite PPE & Consumables,misc,400000.0,SITE-004,N. Rao,2025-06-12 09:22:00,1,round_number,0.0,1.0,0.0,0.0,110.74973984425395,1.0,0.8976207351270649,0.4846,suspiciously round amount; amount far outside vendor's typical range; unusual combination of features (model flagged)
62,Konkan Aggregates Pvt Ltd,materials,27998.57,SITE-003,R. Mehta,2025-05-17 18:40:00,1,duplicate,1.0,0.0,1.0,0.0,0.5229951568660869,0.08716585947768114,0.7303394227391546,0.477,possible duplicate entry; submitted off-hours/weekend; unusual combination of features (model flagged)
1630,Konkan Aggregates Pvt Ltd,materials,28790.45,SITE-009,R. Mehta,2025-02-22 14:58:00,1,duplicate,1.0,0.0,1.0,0.0,0.6023910084569044,0.10039850140948407,0.7066979102008559,0.4761,possible duplicate entry; submitted off-hours/weekend; unusual combination of features (model flagged)
222,SafeSite PPE & Consumables,misc,250000.0,SITE-009,N. Rao,2025-04-25 13:31:00,1,round_number,0.0,1.0,0.0,0.0,68.2765805109503,1.0,0.8282321370978056,0.4742,suspiciously round amount; amount far outside vendor's typical range; unusual combination of features (model flagged)
1402,SafeSite PPE & Consumables,misc,200000.0,SITE-006,N. Rao,2025-04-30 08:26:00,1,round_number,0.0,1.0,0.0,0.0,54.11886073318241,1.0,0.8278220986810683,0.4742,suspiciously round amount; amount far outside vendor's typical range; unusual combination of features (model flagged)
1921,Sagar Labour Solutions,labor,29644.94,SITE-005,A. Fernandes,2025-05-31 11:55:00,1,duplicate,1.0,0.0,1.0,0.0,0.5097391033252126,0.08495651722086876,0.7131228163797207,0.474,possible duplicate entry; submitted off-hours/weekend; unusual combination of features (model flagged)
1352,Shree Cement Suppliers,materials,29451.08,SITE-008,M. Sharma,2025-06-07 10:21:00,1,duplicate,1.0,0.0,1.0,0.0,0.34155900427683694,0.05692650071280616,0.7343725633881955,0.4715,possible duplicate entry; submitted off-hours/weekend; unusual combination of features (model flagged)
1059,Sagar Labour Solutions,labor,42839.76,SITE-009,K. Iyer,2025-04-05 14:39:00,1,duplicate,1.0,0.0,1.0,0.0,0.7578522385249703,0.1263087064208284,0.6417906117630889,0.4715,possible duplicate entry; submitted off-hours/weekend
1701,BuildRight Steel & Rebar,materials,538615.03,SITE-007,N. Rao,2025-05-09 08:14:00,1,unusual_approver,0.0,0.0,0.0,1.0,13.407604217930245,1.0,0.8024271929937422,0.4704,unusual approver for this vendor; amount far outside vendor's typical range; unusual combination of features (model flagged)
998,Zenith Office & Site Supplies,misc,46542.43,SITE-006,A. Fernandes,2025-06-16 12:58:00,1,unusual_approver,0.0,0.0,0.0,1.0,12.859449752738813,1.0,0.8003483819629603,0.4701,unusual approver for this vendor; amount far outside vendor's typical range; unusual combination of features (model flagged)
